id,store_name,rating,address,city,lat,long,distance
130,Sweet Belly,4.5,435 19th St,Oakland,37.807609480553495,-122.268880033234,0.611183
129,The Burrow,4.5,109 Visitacion,Brisbane,37.6834642,-122.4028888,0.627337
442,TeaZenTea,4.5,1135 2nd St,Brentwood,37.9369147127279,-121.698112115264,0.628924
461,Quickly Brentwood,4.5,2415 Empire Ave,Brentwood,37.960314399999994,-121.7326581,0.642497
61,OMG Tea,4.5,2891 San Bruno Ave,San Francisco,37.7254643,-122.402527,0.6513
71,The Boba Shop,4.5,2071 3rd St,San Francisco,37.7635576540922,-122.38857708871402,0.664096
496,Blue Saigon,4.5,2243 Railroad Ave,Pittsburg,38.0134741,-121.8905534,0.67834
505,Golden Bakery,5.0,2229 Railroad Ave,Pittsburg,38.0136496,-121.89048740000001,0.678515
91,Little Heaven Deli,4.5,2348 Mission St,San Francisco,37.759479999999996,-122.41943,0.685429
92,5 Sweets,4.5,1125 Ocean Ave 102,San Francisco,37.723259000000006,-122.45455929999999,0.69242
56,i-Tea,4.5,253 Kearny St,San Francisco,37.7905719929647,-122.40430422127199,0.693618
474,Going Green,4.5,1160 Arnold Dr,Martinez,37.9934616,-122.1024094,0.694468
59,Steap Tea Bar,4.5,827 Sacramento St,San Francisco,37.7932604402304,-122.406762465835,0.697238
468,Skyview Noodle & Tea,4.5,200 E 3rd St,Pittsburg,38.032940110361295,-121.882134117186,0.697741
93,Good Earth Cafe,4.5,835 Kearny St,San Francisco,37.795789899999995,-122.40536999999999,0.697855
89,Puppy Bobar,5.0,1142 Grant Ave,San Francisco,37.7975399525428,-122.406789958477,0.700077
82,Keep it,4.5,1170 Powell St,San Francisco,37.7955593172737,-122.409816160798,0.70105
75,Tea Hut,4.5,2815 California St,San Francisco,37.7879050728042,-122.44076168209699,0.719835
70,Wondertea,4.5,2250 Irving St,San Francisco,37.7634668052021,-122.482386571049,0.738213
77,Tancca,4.5,5015 Geary Blvd,San Francisco,37.7804213,-122.47328429999999,0.740881
471,Rrags Caffe,4.5,1383 E 2nd St,Benicia,38.0543339252472,-122.152609080076,0.768681
524,Aloha Pure Water Shaved Ice,4.5,2300 El Portal Dr,San Pablo,37.966045,-122.343246,0.782013
502,Aung Maylika,4.5,836 Southampton Rd,Benicia,38.066112359505,-122.165491386026,0.78429
550,Menchie's Frozen Yogurt,4.5,972 Admiral Callaghan Ln,Vallejo,38.133641,-122.22246399999999,0.868353
525,World Wrapps,4.5,208 Corte Madera Town Ctr,Corte Madera,37.9283378273249,-122.51804798841499,0.870354
558,Pho Saigon Village Noodle House,4.5,3636 Sonoma Blvd,Vallejo,38.123849663673894,-122.25396101427401,0.872349
551,Starbread Bakery,4.5,3718 Sonoma Blvd,Vallejo,38.1253132837656,-122.25415918976101,0.873757
191,Palm Thai Bistro,4.5,5089 Business Center Dr,Fairfield,38.215523,-122.14318100000001,0.918507
446,Okashi Fusion,4.5,1679 E Monte Vista Ave,Vacaville,38.3703303337097,-121.959481313825,1.03809
182,Heritage Eats,4.5,3824 Bel Aire Plz,Napa,38.32387,-122.30711000000001,1.07655
464,Easel,4.5,620 W Covell Blvd,Davis,38.5603285349925,-121.757062978432,1.23139
